ID,Tournament,MatchDate,Week,Day,Date,Division,Home,Away,Field,Time
46,WMCB Championship ,2015-06-07,Week 7,Sunday,7-Jun,WMCB Inter-Division,Southern Cavaliers,Spartans,Laurel II,11:00 AM
47,WMCB Twenty20 Round Robin,2015-06-13,Week 8,Saturday,13-Jun,WMCB T20 Group A,VA. Lions,United,Laurel I,9:00 AM
48,WMCB Twenty20 Round Robin,2015-06-13,Week 8,Saturday,13-Jun,WMCB T20 Group A,Challangers,Columbia,Mark Twain,9:00 AM
49,WMCB Twenty20 Round Robin,2015-06-13,Week 8,Saturday,13-Jun,WMCB T20 Group A,Mavericks,Gladiators,Oxon Hill,9:00 AM
50,WMCB Twenty20 Round Robin,2015-06-13,Week 8,Saturday,13-Jun,WMCB T20 Group B,Renagades,Damascus,Laurel I,2:00 PM
51,WMCB Twenty20 Round Robin,2015-06-13,Week 8,Saturday,13-Jun,WMCB T20 Group B,Punjab Lions,Crescent,Mark Twain,2:00 PM
52,WMCB Twenty20 Round Robin,2015-06-13,Week 8,Saturday,13-Jun,WMCB T20 Group B,A Money Matter,Southern Cavaliers,Oxon Hill,2:00 PM
53,WMCB Twenty20 Round Robin,2015-06-14,Week 8,Sunday,14-Jun,WMCB T20 Group B,Washington,Punjab Lions,Laurel I,9:00 AM
54,WMCB Twenty20 Round Robin,2015-06-14,Week 8,Sunday,14-Jun,WMCB T20 Group B,Southern Cavaliers,Renagades,Mark Twain,9:00 AM
55,WMCB Twenty20 Round Robin,2015-06-14,Week 8,Sunday,14-Jun,WMCB T20 Group B,Crescent,A Money Matter,Oxon Hill,9:00 AM
56,WMCB Twenty20 Round Robin,2015-06-14,Week 8,Sunday,14-Jun,WMCB T20 Group A,Columbia,Gladiators,Laurel I,2:00 PM
57,WMCB Twenty20 Round Robin,2015-06-14,Week 8,Sunday,14-Jun,WMCB T20 Group A,Challangers,VA. Lions,Mark Twain,2:00 PM
58,WMCB Twenty20 Round Robin,2015-06-14,Week 8,Sunday,14-Jun,WMCB T20 Group A,Spartans,United,Oxon Hill,2:00 PM
59,WMCB Twenty20 Round Robin,2015-06-20,Week 9,Saturday,20-Jun,WMCB T20 Group A,Spartans,Columbia,Laurel I,9:00 AM
60,WMCB Twenty20 Round Robin,2015-06-20,Week 9,Saturday,20-Jun,WMCB T20 Group A,Mavericks,United,Mark Twain,9:00 AM
61,WMCB Twenty20 Round Robin,2015-06-20,Week 9,Saturday,20-Jun,WMCB T20 Group A,Challangers,Gladiators,Oxon Hill,9:00 AM
62,WMCB Twenty20 Round Robin,2015-06-20,Week 9,Saturday,20-Jun,WMCB T20 Group B,Southern Cavaliers,Damascus,Laurel I,2:00 PM
63,WMCB Twenty20 Round Robin,2015-06-20,Week 9,Saturday,20-Jun,WMCB T20 Group B,Washington,A Money Matter,Mark Twain,2:00 PM
64,WMCB Twenty20 Round Robin,2015-06-20,Week 9,Saturday,20-Jun,WMCB T20 Group B,Crescent,Renagades,Oxon Hill,2:00 PM
65,WMCB Twenty20 Round Robin,2015-06-21,Week 9,Sunday,21-Jun,WMCB T20 Group B,A Money Matter,Punjab Lions,Laurel I,9:00 AM
66,WMCB Twenty20 Round Robin,2015-06-21,Week 9,Sunday,21-Jun,WMCB T20 Group B,Damascus,Crescent,Mark Twain,9:00 AM
67,WMCB Twenty20 Round Robin,2015-06-21,Week 9,Sunday,21-Jun,WMCB T20 Group B,Renagades,Washington,Oxon Hill,9:00 AM
68,WMCB Twenty20 Round Robin,2015-06-21,Week 9,Sunday,21-Jun,WMCB T20 Group A,United,Gladiators,Laurel I,2:00 PM
69,WMCB Twenty20 Round Robin,2015-06-21,Week 9,Sunday,21-Jun,WMCB T20 Group A,Mavericks,Spartans,Mark Twain,2:00 PM
70,WMCB Twenty20 Round Robin,2015-06-21,Week 9,Sunday,21-Jun,WMCB T20 Group A,VA. Lions,Columbia,Oxon Hill,2:00 PM
71,WMCB Twenty20 Round Robin,2015-06-27,Week 10,Saturday,27-Jun,WMCB T20 Group A,Mavericks,Challangers,Laurel I,9:00 AM
72,WMCB Twenty20 Round Robin,2015-06-27,Week 10,Saturday,27-Jun,WMCB T20 Group A,United,Columbia,Mark Twain,9:00 AM
73,WMCB Twenty20 Round Robin,2015-06-27,Week 10,Saturday,27-Jun,WMCB T20 Group A,VA. Lions,Spartans,Oxon Hill,9:00 AM
